Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2013 | Diciembre|Total nacional|ESPINACAS|987,52|1.730,18|1,75|6,86|0,02|0,04||
2013 | Diciembre|Total nacional|GUISANTES|1.998,76|3.291,36|1,65|11,5|0,04|0,07||
2013 | Diciembre|Total nacional|JUDIA VERDE|2.760,78|3.591,79|1,3|10,76|0,06|0,08||
2013 | Diciembre|Total nacional|COLIFLOR|312,92|548,29|1,75|1,52|0,01|0,01||
2013 | Diciembre|Total nacional|PIMIENTOS|108,87|234,58|2,15|1,14|0|0,01||
2013 | Diciembre|Total nacional|BROCOLI|304,92|509,05|1,67|1,62|0,01|0,01||
2013 | Diciembre|Total nacional|MENESTRA|1.180,32|2.052,11|1,74|5,76|0,03|0,05||
2013 | Diciembre|Total nacional|OTR.VERD/HOR.CONG.|2.829,15|7.732,09|2,73|16,39|0,06|0,17||
2013 | Diciembre|Total nacional|FRUTAS CONGELADAS|51,40|214,70|4,18|0,35|0|0||
2014 | Enero|Total nacional|GUISANTES|744,90|1.708,22|2,29|5,78|0,02|0,04||
2014 | Enero|Total nacional|JUDIAS VERDES|1.176,51|1.810,87|1,54|5,82|0,03|0,04||
2014 | Enero|Total nacional|PIMIENTOS|1.145,86|4.784,73|4,18|13,45|0,03|0,11||
2014 | Enero|Total nacional|ESPARRAGOS|1.624,30|9.504,07|5,85|15,12|0,04|0,21||
2014 | Enero|Total nacional|ALCACHOFAS|761,46|3.365,22|4,42|6,52|0,02|0,08||
2014 | Enero|Total nacional|CHAMPIÑOSNES+SETAS|1.650,59|4.784,84|2,9|12,52|0,04|0,11||
2014 | Enero|Total nacional|MAIZ DULCE|1.316,78|3.948,94|3|11,34|0,03|0,09||
2014 | Enero|Total nacional|MENESTRA|259,49|521,08|2,01|1,72|0,01|0,01||
2014 | Enero|Total nacional|TOMATES|21.092,61|27.764,46|1,32|60,54|0,47|0,62||
2014 | Enero|Total nacional|TOMATE FRITO|14.971,15|20.713,46|1,38|49,71|0,33|0,46||
2014 | Enero|Total nacional|TOMATE NATURAL|6.121,46|7.051,00|1,15|23,58|0,14|0,16||
2014 | Enero|Total nacional|TOMATE N.ENTERO|739,54|883,36|1,19|3,32|0,02|0,02||
2014 | Enero|Total nacional|TOMATE N.TRITUR.|5.381,92|6.167,64|1,15|21,48|0,12|0,14||
2014 | Enero|Total nacional|OTRA VERD/HORT.CON|1.830,78|4.418,42|2,41|11,81|0,04|0,1||
2014 | Enero|Total nacional|FRUTA EN CONSERVA|6.914,08|19.345,22|2,8|36,02|0,15|0,43||
2014 | Enero|Total nacional|MERMELADAS,CONFIT.|2.482,18|8.483,88|3,42|20,54|0,06|0,19||
2014 | Enero|Total nacional|FRUTA CONS/ALMIBAR|3.920,71|8.564,45|2,18|15,99|0,09|0,19||
2014 | Enero|Total nacional|FRUTA ESCARCHADA|102,72|714,76|6,96|1,2|0|0,02||
2014 | Enero|Total nacional|RESTO FRUTA CONSER|408,47|1.582,13|3,87|4,77|0,01|0,04||
2014 | Enero|Total nacional|VERD./HORT.CONGELAD|13.522,74|25.272,01|1,87|40,12|0,3|0,56||
2014 | Enero|Total nacional|ESPINACAS|1.280,13|2.093,95|1,64|8,31|0,03|0,05||
