Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2013 | Octubre|Total nacional|OTR.HORTALIZAS/VERD.|38.404,78|74.918,51|1,95|75,2|0,85|1,65||
2013 | Octubre|Total nacional|VERD./HORT. IV GAMA|11.739,56|31.871,23|2,71|44,74|0,26|0,7||
2013 | Octubre|Total nacional|VERD./HORT. ECOLOGIC|45.119,30|73.658,70|1,63|21,82|1|1,62||
2013 | Noviembre|Total nacional|TOTAL PATATAS|117.962,71|92.281,76|0,78|79,13|2,6|2,04||
2013 | Noviembre|Total nacional|PATATAS FRESCAS|90.917,31|64.030,58|0,7|67,32|2,01|1,41||
2013 | Noviembre|Total nacional|PATATAS CONGELADAS|3.492,18|4.480,76|1,28|11,45|0,08|0,1||
2013 | Noviembre|Total nacional|PATATAS PROCESADAS|4.710,64|23.770,42|5,05|43,67|0,1|0,52||
2013 | Noviembre|Total nacional|T.HORTALIZAS FRESCAS|231.163,19|372.516,25|1,61|96,05|5,1|8,22||
2013 | Noviembre|Total nacional|TOMATES|48.308,53|61.604,94|1,28|76,89|1,07|1,36||
2013 | Noviembre|Total nacional|CEBOLLAS|28.424,75|27.569,02|0,97|66,1|0,63|0,61||
2013 | Noviembre|Total nacional|AJOS|3.538,63|13.294,29|3,76|36,92|0,08|0,29||
2013 | Noviembre|Total nacional|COLES|9.138,47|9.467,06|1,04|25,59|0,2|0,21||
2013 | Noviembre|Total nacional|PEPINOS|5.636,64|7.419,85|1,32|26,21|0,12|0,16||
2013 | Noviembre|Total nacional|JUDIAS VERDES|9.195,15|24.530,49|2,67|36,71|0,2|0,54||
2013 | Noviembre|Total nacional|PIMIENTOS|18.550,42|27.715,96|1,49|62,54|0,41|0,61||
2013 | Noviembre|Total nacional|CHAMPIÑONES+O.SETAS|6.844,02|31.815,00|4,65|42,02|0,15|0,7||
2013 | Noviembre|Total nacional|LECHUGA/ESC./ENDIVIA|16.085,46|31.801,57|1,98|56,7|0,35|0,7||
2013 | Noviembre|Total nacional|ESPARRAGOS|1.996,84|3.473,05|1,74|5,78|0,04|0,08||
2013 | Noviembre|Total nacional|VERDURAS DE HOJA|6.102,88|11.535,77|1,89|25,38|0,13|0,25||
2013 | Noviembre|Total nacional|BERENJENAS|6.185,97|8.319,41|1,34|29,63|0,14|0,18||
2013 | Noviembre|Total nacional|ZANAHORIAS|14.602,96|12.966,25|0,89|60,71|0,32|0,29||
2013 | Noviembre|Total nacional|CALABACINES|12.476,85|19.131,47|1,53|46,94|0,28|0,42||
2013 | Noviembre|Total nacional|OTR.HORTALIZAS/VERD.|44.075,62|81.872,11|1,86|77,92|0,97|1,81||
2013 | Noviembre|Total nacional|VERD./HORT. IV GAMA|10.382,01|29.769,78|2,87|43,07|0,23|0,66||
2013 | Noviembre|Total nacional|VERD./HORT. ECOLOGIC|28.059,43|52.067,53|1,86|21,19|0,62|1,15||
2013 | Diciembre|Total nacional|TOTAL PATATAS|113.164,08|90.074,59|0,8|78,79|2,5|1,99||
2013 | Diciembre|Total nacional|PATATAS FRESCAS|83.192,56|58.294,44|0,7|65,12|1,84|1,29||
2013 | Diciembre|Total nacional|PATATAS CONGELADAS|3.573,19|4.523,41|1,27|11,58|0,08|0,1||
2013 | Diciembre|Total nacional|PATATAS PROCESADAS|5.279,67|27.256,74|5,16|47,59|0,12|0,6||
