Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Abril|Valencia|MAIZ DULCE|207,56|666,92|3,21|17,43|0,04|0,14||
2013 | Abril|Valencia|MENESTRA|10,73|19,24|1,79|0,77|0|0||
2013 | Abril|Valencia|TOMATES|2.478,47|3.241,86|1,31|61,61|0,51|0,66||
2013 | Abril|Valencia|TOMATE FRITO|1.382,96|1.989,81|1,44|42,85|0,28|0,41||
2013 | Abril|Valencia|TOMATE NATURAL|1.095,50|1.252,06|1,14|35,1|0,22|0,26||
2013 | Abril|Valencia|TOMATE N.ENTERO|142,46|163,62|1,15|6,97|0,03|0,03||
2013 | Abril|Valencia|TOMATE N.TRITUR.|953,04|1.088,44|1,14|31,43|0,19|0,22||
2013 | Abril|Valencia|OTRA VERD/HORT.CON|168,19|422,35|2,51|12,12|0,03|0,09||
2013 | Abril|Valencia|FRUTA EN CONSERVA|848,92|2.246,78|2,65|37,83|0,17|0,46||
2013 | Abril|Valencia|MERMELADAS,CONFIT.|258,07|882,04|3,42|19,04|0,05|0,18||
2013 | Abril|Valencia|FRUTA CONS/ALMIBAR|489,57|978,25|2|15,78|0,1|0,2||
2013 | Abril|Valencia|FRUTA ESCARCHADA|3,85|30,79|8|0,44|0|0,01||
2013 | Abril|Valencia|RESTO FRUTA CONSER|97,44|355,69|3,65|8,96|0,02|0,07||
2013 | Abril|Valencia|VERD./HORT.CONGELAD|1.370,03|2.499,24|1,82|39,47|0,28|0,51||
2013 | Abril|Valencia|ESPINACAS|179,56|293,91|1,64|9,21|0,04|0,06||
2013 | Abril|Valencia|GUISANTES|175,80|290,51|1,65|11,51|0,04|0,06||
2013 | Abril|Valencia|JUDIA VERDE|333,30|433,48|1,3|12,25|0,07|0,09||
2013 | Abril|Valencia|COLIFLOR|12,30|18,54|1,51|0,6|0|0||
2013 | Abril|Valencia|PIMIENTOS|7,28|15,56|2,14|0,85|0|0||
2013 | Abril|Valencia|BROCOLI|24,55|43,93|1,79|1,61|0,01|0,01||
2013 | Abril|Valencia|MENESTRA|130,16|215,21|1,65|5,38|0,03|0,04||
2013 | Abril|Valencia|OTR.VERD/HOR.CONG.|507,08|1.188,09|2,34|24,08|0,1|0,24||
2013 | Abril|Valencia|FRUTAS CONGELADAS|1,09|4,35|3,99|0,08|0|0||
2013 | Mayo|Total nacional|GUISANTES|901,99|2.018,85|2,24|7,02|0,02|0,04||
2013 | Mayo|Total nacional|JUDIAS VERDES|1.110,31|1.689,35|1,52|5,66|0,02|0,04||
2013 | Mayo|Total nacional|PIMIENTOS|1.442,87|5.699,59|3,95|14,96|0,03|0,13||
2013 | Mayo|Total nacional|ESPARRAGOS|1.813,22|9.679,97|5,34|15,55|0,04|0,21||
2013 | Mayo|Total nacional|ALCACHOFAS|662,39|2.886,32|4,36|5,49|0,01|0,06||
2013 | Mayo|Total nacional|CHAMPIÑOSNES+SETAS|1.743,11|4.877,79|2,8|12,09|0,04|0,11||
2013 | Mayo|Total nacional|MAIZ DULCE|1.891,40|5.548,82|2,93|15,42|0,04|0,12||
2013 | Mayo|Total nacional|MENESTRA|338,01|597,69|1,77|1,92|0,01|0,01||
2013 | Mayo|Total nacional|TOMATES|20.982,92|27.543,07|1,31|58,31|0,46|0,61||
2013 | Mayo|Total nacional|TOMATE FRITO|14.387,97|19.869,32|1,38|47,54|0,32|0,44||
2013 | Mayo|Total nacional|TOMATE NATURAL|6.594,95|7.673,75|1,16|24,54|0,15|0,17||
2013 | Mayo|Total nacional|TOMATE N.ENTERO|968,91|1.232,83|1,27|4,61|0,02|0,03||
2013 | Mayo|Total nacional|TOMATE N.TRITUR.|5.626,04|6.440,92|1,14|21,51|0,12|0,14||
2013 | Mayo|Total nacional|OTRA VERD/HORT.CON|1.853,84|4.572,44|2,47|12,78|0,04|0,1||
2013 | Mayo|Total nacional|FRUTA EN CONSERVA|7.470,76|20.612,14|2,76|37,17|0,16|0,45||
2013 | Mayo|Total nacional|MERMELADAS,CONFIT.|2.720,84|9.438,19|3,47|22,22|0,06|0,21||
2013 | Mayo|Total nacional|FRUTA CONS/ALMIBAR|4.134,15|8.774,26|2,12|16,26|0,09|0,19||
2013 | Mayo|Total nacional|FRUTA ESCARCHADA|31,92|274,71|8,61|0,29|0|0,01||
2013 | Mayo|Total nacional|RESTO FRUTA CONSER|583,85|2.124,98|3,64|6,07|0,01|0,05||
2013 | Mayo|Total nacional|VERD./HORT.CONGELAD|13.037,26|23.573,21|1,81|40,08|0,29|0,52||
2013 | Mayo|Total nacional|ESPINACAS|1.254,45|2.242,15|1,79|7,1|0,03|0,05||
2013 | Mayo|Total nacional|GUISANTES|2.265,11|3.777,73|1,67|13,29|0,05|0,08||
2013 | Mayo|Total nacional|JUDIA VERDE|3.334,43|4.239,36|1,27|12,77|0,07|0,09||
2013 | Mayo|Total nacional|COLIFLOR|338,84|552,35|1,63|1,72|0,01|0,01||
2013 | Mayo|Total nacional|PIMIENTOS|119,49|251,37|2,1|1,25|0|0,01||
2013 | Mayo|Total nacional|BROCOLI|358,91|616,70|1,72|1,68|0,01|0,01||
2013 | Mayo|Total nacional|MENESTRA|1.532,18|2.657,41|1,73|7,03|0,03|0,06||
2013 | Mayo|Total nacional|OTR.VERD/HOR.CONG.|3.833,85|9.236,13|2,41|19,6|0,08|0,2||
2013 | Mayo|Total nacional|FRUTAS CONGELADAS|96,27|288,73|3|0,88|0|0,01||
2013 | Mayo|Andalucía|GUISANTES|99,39|216,62|2,18|4,43|0,01|0,02||
2013 | Mayo|Andalucía|JUDIAS VERDES|149,52|220,86|1,48|5,23|0,02|0,03||
2013 | Mayo|Andalucía|PIMIENTOS|283,77|1.150,80|4,06|16,38|0,03|0,13||
2013 | Mayo|Andalucía|ESPARRAGOS|190,93|1.039,75|5,45|11,2|0,02|0,12||
2013 | Mayo|Andalucía|ALCACHOFAS|137,44|554,92|4,04|7,12|0,02|0,06||
2013 | Mayo|Andalucía|CHAMPIÑOSNES+SETAS|447,67|1.165,80|2,6|16,24|0,05|0,13||
2013 | Mayo|Andalucía|MAIZ DULCE|421,66|1.193,60|2,83|20,19|0,05|0,14||
2013 | Mayo|Andalucía|MENESTRA|42,28|64,95|1,54|1,39|0|0,01||
2013 | Mayo|Andalucía|TOMATES|4.030,95|5.001,59|1,24|61,77|0,46|0,58||
2013 | Mayo|Andalucía|TOMATE FRITO|2.803,38|3.558,02|1,27|52,67|0,32|0,41||
2013 | Mayo|Andalucía|TOMATE NATURAL|1.227,57|1.443,56|1,18|25,76|0,14|0,17||
2013 | Mayo|Andalucía|TOMATE N.ENTERO|146,48|227,97|1,56|3,8|0,02|0,03||
2013 | Mayo|Andalucía|TOMATE N.TRITUR.|1.081,09|1.215,60|1,12|23,49|0,12|0,14||
2013 | Mayo|Andalucía|OTRA VERD/HORT.CON|385,51|895,20|2,32|16,21|0,04|0,1||
2013 | Mayo|Andalucía|FRUTA EN CONSERVA|1.278,63|3.186,32|2,49|35,05|0,15|0,37||
2013 | Mayo|Andalucía|MERMELADAS,CONFIT.|316,30|1.088,53|3,44|17,28|0,04|0,13||
2013 | Mayo|Andalucía|FRUTA CONS/ALMIBAR|883,63|1.845,41|2,09|19,43|0,1|0,21||
2013 | Mayo|Andalucía|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Andalucía|RESTO FRUTA CONSER|78,69|252,38|3,21|4,79|0,01|0,03||
2013 | Mayo|Andalucía|VERD./HORT.CONGELAD|1.897,30|3.738,02|1,97|37,99|0,22|0,43||
2013 | Mayo|Andalucía|ESPINACAS|285,59|497,40|1,74|8,83|0,03|0,06||
2013 | Mayo|Andalucía|GUISANTES|282,81|425,17|1,5|9,61|0,03|0,05||
2013 | Mayo|Andalucía|JUDIA VERDE|424,87|521,01|1,23|10,14|0,05|0,06||
2013 | Mayo|Andalucía|COLIFLOR|49,26|80,73|1,64|1,53|0,01|0,01||
2013 | Mayo|Andalucía|PIMIENTOS|19,36|40,45|2,09|1,18|0|0||
2013 | Mayo|Andalucía|BROCOLI|39,08|64,57|1,65|0,96|0|0,01||
2013 | Mayo|Andalucía|MENESTRA|256,38|462,67|1,8|7,63|0,03|0,05||
2013 | Mayo|Andalucía|OTR.VERD/HOR.CONG.|539,94|1.646,01|3,05|20,29|0,06|0,19||
2013 | Mayo|Andalucía|FRUTAS CONGELADAS|55,93|129,81|2,32|3,32|0,01|0,01||
2013 | Mayo|Aragón|GUISANTES|45,38|103,99|2,29|10,44|0,03|0,08||
2013 | Mayo|Aragón|JUDIAS VERDES|28,96|47,36|1,64|5,48|0,02|0,04||
2013 | Mayo|Aragón|PIMIENTOS|55,77|205,50|3,69|17,96|0,04|0,15||
2013 | Mayo|Aragón|ESPARRAGOS|56,82|306,47|5,39|14,77|0,04|0,23||
2013 | Mayo|Aragón|ALCACHOFAS|4,76|22,57|4,74|2,44|0|0,02||
2013 | Mayo|Aragón|CHAMPIÑOSNES+SETAS|26,65|76,03|2,85|7,67|0,02|0,06||
2013 | Mayo|Aragón|MAIZ DULCE|36,47|103,61|2,84|11,39|0,03|0,08||
2013 | Mayo|Aragón|MENESTRA|14,49|34,17|2,36|2,48|0,01|0,03||
2013 | Mayo|Aragón|TOMATES|490,97|638,05|1,3|51,61|0,36|0,47||
2013 | Mayo|Aragón|TOMATE FRITO|376,11|490,64|1,3|43,7|0,28|0,36||
2013 | Mayo|Aragón|TOMATE NATURAL|114,85|147,41|1,28|17,46|0,09|0,11||
2013 | Mayo|Aragón|TOMATE N.ENTERO|11,37|13,14|1,16|2,12|0,01|0,01||
2013 | Mayo|Aragón|TOMATE N.TRITUR.|103,49|134,27|1,3|15,42|0,08|0,1||
2013 | Mayo|Aragón|OTRA VERD/HORT.CON|56,93|122,30|2,15|10,57|0,04|0,09||
2013 | Mayo|Aragón|FRUTA EN CONSERVA|170,28|430,85|2,53|27,18|0,13|0,32||
2013 | Mayo|Aragón|MERMELADAS,CONFIT.|74,72|249,55|3,34|18,45|0,06|0,19||
2013 | Mayo|Aragón|FRUTA CONS/ALMIBAR|90,51|167,29|1,85|9,92|0,07|0,12||
2013 | Mayo|Aragón|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Aragón|RESTO FRUTA CONSER|5,04|14,01|2,78|1,85|0|0,01||
2013 | Mayo|Aragón|VERD./HORT.CONGELAD|468,29|660,28|1,41|39,59|0,35|0,49||
2013 | Mayo|Aragón|ESPINACAS|32,76|51,52|1,57|5,8|0,02|0,04||
2013 | Mayo|Aragón|GUISANTES|72,99|88,29|1,21|12,83|0,05|0,07||
2013 | Mayo|Aragón|JUDIA VERDE|162,39|186,94|1,15|16,11|0,12|0,14||
2013 | Mayo|Aragón|COLIFLOR|9,60|13,77|1,43|1,51|0,01|0,01||
2013 | Mayo|Aragón|PIMIENTOS|0,42|0,88|2,09|0,1|0|0||
2013 | Mayo|Aragón|BROCOLI|1,13|1,83|1,62|0,23|0|0||
2013 | Mayo|Aragón|MENESTRA|90,17|141,28|1,57|13,71|0,07|0,11||
2013 | Mayo|Aragón|OTR.VERD/HOR.CONG.|98,82|175,78|1,78|17,77|0,07|0,13||
2013 | Mayo|Aragón|FRUTAS CONGELADAS|0,00|0,00|0|0|0|0||
2013 | Mayo|Asturias|GUISANTES|52,02|116,83|2,25|16,2|0,05|0,11||
2013 | Mayo|Asturias|JUDIAS VERDES|42,06|64,00|1,52|7,82|0,04|0,06||
2013 | Mayo|Asturias|PIMIENTOS|44,49|195,72|4,4|19,94|0,04|0,18||
2013 | Mayo|Asturias|ESPARRAGOS|66,62|409,76|6,15|26,55|0,06|0,38||
2013 | Mayo|Asturias|ALCACHOFAS|10,13|56,04|5,53|3,19|0,01|0,05||
2013 | Mayo|Asturias|CHAMPIÑOSNES+SETAS|60,54|169,55|2,8|15,85|0,06|0,16||
2013 | Mayo|Asturias|MAIZ DULCE|23,03|64,90|2,82|8,92|0,02|0,06||
2013 | Mayo|Asturias|MENESTRA|14,11|20,65|1,46|4,24|0,01|0,02||
2013 | Mayo|Asturias|TOMATES|422,46|602,44|1,43|51,44|0,39|0,56||
2013 | Mayo|Asturias|TOMATE FRITO|320,62|472,70|1,47|44,73|0,3|0,44||
2013 | Mayo|Asturias|TOMATE NATURAL|101,85|129,74|1,27|16,61|0,09|0,12||
2013 | Mayo|Asturias|TOMATE N.ENTERO|35,52|44,69|1,26|6,11|0,03|0,04||
2013 | Mayo|Asturias|TOMATE N.TRITUR.|66,32|85,06|1,28|11,92|0,06|0,08||
2013 | Mayo|Asturias|OTRA VERD/HORT.CON|36,83|110,60|3|7,9|0,03|0,1||
2013 | Mayo|Asturias|FRUTA EN CONSERVA|202,63|594,61|2,93|40,97|0,19|0,55||
2013 | Mayo|Asturias|MERMELADAS,CONFIT.|84,22|284,31|3,38|22,35|0,08|0,26||
2013 | Mayo|Asturias|FRUTA CONS/ALMIBAR|80,25|183,79|2,29|16,07|0,07|0,17||
2013 | Mayo|Asturias|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Asturias|RESTO FRUTA CONSER|38,15|126,52|3,32|11,52|0,04|0,12||
2013 | Mayo|Asturias|VERD./HORT.CONGELAD|295,03|562,29|1,91|30,34|0,27|0,52||
2013 | Mayo|Asturias|ESPINACAS|27,15|64,56|2,38|6,9|0,03|0,06||
2013 | Mayo|Asturias|GUISANTES|50,04|79,75|1,59|9,89|0,05|0,07||
2013 | Mayo|Asturias|JUDIA VERDE|91,59|136,91|1,49|16,24|0,08|0,13||
2013 | Mayo|Asturias|COLIFLOR|10,21|25,01|2,45|3|0,01|0,02||
2013 | Mayo|Asturias|PIMIENTOS|0,00|0,00|0|0|0|0||
2013 | Mayo|Asturias|BROCOLI|23,07|39,06|1,69|5,08|0,02|0,04||
2013 | Mayo|Asturias|MENESTRA|61,37|147,64|2,41|7,14|0,06|0,14||
2013 | Mayo|Asturias|OTR.VERD/HOR.CONG.|31,61|69,36|2,19|8,51|0,03|0,06||
2013 | Mayo|Asturias|FRUTAS CONGELADAS|0,00|0,00|0|0|0|0||
2013 | Mayo|Baleares|GUISANTES|16,52|33,21|2,01|3,66|0,02|0,03||
2013 | Mayo|Baleares|JUDIAS VERDES|18,23|26,23|1,44|3,43|0,02|0,03||
2013 | Mayo|Baleares|PIMIENTOS|10,85|49,86|4,6|7,16|0,01|0,05||
2013 | Mayo|Baleares|ESPARRAGOS|21,51|113,28|5,27|8,86|0,02|0,11||
2013 | Mayo|Baleares|ALCACHOFAS|10,45|41,31|3,95|4,03|0,01|0,04||
2013 | Mayo|Baleares|CHAMPIÑOSNES+SETAS|38,06|125,95|3,31|12,31|0,04|0,13||
2013 | Mayo|Baleares|MAIZ DULCE|38,61|107,09|2,77|11,95|0,04|0,11||
2013 | Mayo|Baleares|MENESTRA|0,00|0,00|0|0|0|0||
2013 | Mayo|Baleares|TOMATES|563,41|675,32|1,2|57,09|0,56|0,67||
2013 | Mayo|Baleares|TOMATE FRITO|329,74|392,17|1,19|36,81|0,33|0,39||
2013 | Mayo|Baleares|TOMATE NATURAL|233,67|283,14|1,21|36,23|0,23|0,28||
2013 | Mayo|Baleares|TOMATE N.ENTERO|17,06|25,78|1,51|2,99|0,02|0,03||
2013 | Mayo|Baleares|TOMATE N.TRITUR.|216,61|257,36|1,19|35,84|0,22|0,26||
2013 | Mayo|Baleares|OTRA VERD/HORT.CON|13,47|34,07|2,53|5,67|0,01|0,03||
2013 | Mayo|Baleares|FRUTA EN CONSERVA|143,84|415,07|2,89|33,56|0,14|0,41||
2013 | Mayo|Baleares|MERMELADAS,CONFIT.|60,33|224,36|3,72|22,47|0,06|0,22||
2013 | Mayo|Baleares|FRUTA CONS/ALMIBAR|76,51|160,20|2,09|16,28|0,08|0,16||
2013 | Mayo|Baleares|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Baleares|RESTO FRUTA CONSER|7,00|30,51|4,36|3,48|0,01|0,03||
2013 | Mayo|Baleares|VERD./HORT.CONGELAD|352,30|568,37|1,61|47,1|0,35|0,57||
2013 | Mayo|Baleares|ESPINACAS|24,89|32,24|1,3|6,76|0,02|0,03||
2013 | Mayo|Baleares|GUISANTES|68,70|92,18|1,34|18,89|0,07|0,09||
2013 | Mayo|Baleares|JUDIA VERDE|88,97|101,92|1,15|10,38|0,09|0,1||
2013 | Mayo|Baleares|COLIFLOR|10,11|14,63|1,45|1,79|0,01|0,01||
2013 | Mayo|Baleares|PIMIENTOS|6,51|13,60|2,09|3,58|0,01|0,01||
2013 | Mayo|Baleares|BROCOLI|8,85|14,14|1,6|1,42|0,01|0,01||
2013 | Mayo|Baleares|MENESTRA|50,31|95,26|1,89|7,2|0,05|0,09||
2013 | Mayo|Baleares|OTR.VERD/HOR.CONG.|93,95|204,41|2,18|22,42|0,09|0,2||
2013 | Mayo|Baleares|FRUTAS CONGELADAS|4,18|27,04|6,46|2,11|0|0,03||
2013 | Mayo|Canarias|GUISANTES|27,42|76,21|2,78|6,47|0,01|0,03||
2013 | Mayo|Canarias|JUDIAS VERDES|24,68|49,00|1,99|3,86|0,01|0,02||
2013 | Mayo|Canarias|PIMIENTOS|53,61|212,47|3,96|16,86|0,02|0,09||
2013 | Mayo|Canarias|ESPARRAGOS|50,68|286,97|5,66|13,59|0,02|0,13||
2013 | Mayo|Canarias|ALCACHOFAS|5,54|26,67|4,81|1,65|0|0,01||
2013 | Mayo|Canarias|CHAMPIÑOSNES+SETAS|100,94|266,85|2,64|15,02|0,04|0,12||
2013 | Mayo|Canarias|MAIZ DULCE|190,46|512,12|2,69|28,46|0,08|0,23||
2013 | Mayo|Canarias|MENESTRA|21,69|35,92|1,66|2,54|0,01|0,02||
2013 | Mayo|Canarias|TOMATES|665,11|881,98|1,33|47,47|0,29|0,39||
2013 | Mayo|Canarias|TOMATE FRITO|464,01|608,38|1,31|40,59|0,21|0,27||
2013 | Mayo|Canarias|TOMATE NATURAL|201,11|273,59|1,36|17,34|0,09|0,12||
2013 | Mayo|Canarias|TOMATE N.ENTERO|44,42|84,77|1,91|3,13|0,02|0,04||
2013 | Mayo|Canarias|TOMATE N.TRITUR.|156,68|188,82|1,21|15,85|0,07|0,08||
2013 | Mayo|Canarias|OTRA VERD/HORT.CON|87,04|242,10|2,78|16,01|0,04|0,11||
2013 | Mayo|Canarias|FRUTA EN CONSERVA|621,57|1.566,14|2,52|54,41|0,28|0,69||
2013 | Mayo|Canarias|MERMELADAS,CONFIT.|124,52|442,25|3,55|25,87|0,06|0,2||
2013 | Mayo|Canarias|FRUTA CONS/ALMIBAR|455,28|978,98|2,15|33,11|0,2|0,43||
2013 | Mayo|Canarias|FRUTA ESCARCHADA|4,04|15,59|3,86|2,05|0|0,01||
2013 | Mayo|Canarias|RESTO FRUTA CONSER|37,73|129,31|3,43|8,79|0,02|0,06||
2013 | Mayo|Canarias|VERD./HORT.CONGELAD|464,01|864,49|1,86|38,39|0,21|0,38||
2013 | Mayo|Canarias|ESPINACAS|30,65|69,11|2,25|4,92|0,01|0,03||
2013 | Mayo|Canarias|GUISANTES|83,93|135,20|1,61|11,69|0,04|0,06||
2013 | Mayo|Canarias|JUDIA VERDE|66,13|80,41|1,22|6,6|0,03|0,04||
2013 | Mayo|Canarias|COLIFLOR|13,38|32,91|2,46|0,81|0,01|0,01||
2013 | Mayo|Canarias|PIMIENTOS|10,47|22,68|2,17|2,51|0|0,01||
2013 | Mayo|Canarias|BROCOLI|5,68|8,49|1,49|0,93|0|0||
2013 | Mayo|Canarias|MENESTRA|69,91|122,95|1,76|7,65|0,03|0,05||
2013 | Mayo|Canarias|OTR.VERD/HOR.CONG.|183,86|392,75|2,14|21,03|0,08|0,17||
2013 | Mayo|Canarias|FRUTAS CONGELADAS|10,90|20,59|1,89|2,89|0|0,01||
2013 | Mayo|Cantabria|GUISANTES|13,90|29,98|2,16|10,61|0,03|0,06||
2013 | Mayo|Cantabria|JUDIAS VERDES|23,05|44,35|1,92|5,68|0,04|0,08||
2013 | Mayo|Cantabria|PIMIENTOS|21,77|101,68|4,67|22,11|0,04|0,19||
2013 | Mayo|Cantabria|ESPARRAGOS|29,48|173,29|5,88|19,31|0,06|0,33||
2013 | Mayo|Cantabria|ALCACHOFAS|10,40|62,17|5,98|5,09|0,02|0,12||
2013 | Mayo|Cantabria|CHAMPIÑOSNES+SETAS|19,07|52,24|2,74|10,7|0,04|0,1||
2013 | Mayo|Cantabria|MAIZ DULCE|11,15|36,84|3,3|9,73|0,02|0,07||
2013 | Mayo|Cantabria|MENESTRA|2,99|7,11|2,38|1,57|0,01|0,01||
2013 | Mayo|Cantabria|TOMATES|225,28|335,44|1,49|51,64|0,43|0,64||
2013 | Mayo|Cantabria|TOMATE FRITO|158,65|256,64|1,62|38,66|0,3|0,49||
2013 | Mayo|Cantabria|TOMATE NATURAL|66,63|78,80|1,18|20,15|0,13|0,15||
2013 | Mayo|Cantabria|TOMATE N.ENTERO|26,84|35,71|1,33|8,54|0,05|0,07||
2013 | Mayo|Cantabria|TOMATE N.TRITUR.|39,79|43,09|1,08|12,2|0,08|0,08||
2013 | Mayo|Cantabria|OTRA VERD/HORT.CON|20,14|59,65|2,96|6,94|0,04|0,11||
2013 | Mayo|Cantabria|FRUTA EN CONSERVA|89,47|264,13|2,95|32,07|0,17|0,5||
2013 | Mayo|Cantabria|MERMELADAS,CONFIT.|29,91|110,44|3,69|18,39|0,06|0,21||
2013 | Mayo|Cantabria|FRUTA CONS/ALMIBAR|46,70|114,06|2,44|13,13|0,09|0,22||
2013 | Mayo|Cantabria|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Cantabria|RESTO FRUTA CONSER|12,86|39,63|3,08|10,57|0,02|0,08||
2013 | Mayo|Cantabria|VERD./HORT.CONGELAD|130,89|216,80|1,66|37,26|0,25|0,41||
2013 | Mayo|Cantabria|ESPINACAS|2,01|3,30|1,64|1,17|0|0,01||
2013 | Mayo|Cantabria|GUISANTES|25,02|45,12|1,8|12,56|0,05|0,09||
2013 | Mayo|Cantabria|JUDIA VERDE|50,82|63,59|1,25|12,56|0,1|0,12||
2013 | Mayo|Cantabria|COLIFLOR|3,91|7,85|2,01|1,75|0,01|0,02||
2013 | Mayo|Cantabria|PIMIENTOS|1,71|3,57|2,09|1,18|0|0,01||
2013 | Mayo|Cantabria|BROCOLI|1,09|1,76|1,62|0,47|0|0||
2013 | Mayo|Cantabria|MENESTRA|38,08|77,79|2,04|15,77|0,07|0,15||
2013 | Mayo|Cantabria|OTR.VERD/HOR.CONG.|8,24|13,81|1,68|5,09|0,02|0,03||
2013 | Mayo|Cantabria|FRUTAS CONGELADAS|0,00|0,00|0|0|0|0||
2013 | Mayo|Castilla La Mancha|GUISANTES|60,97|128,10|2,1|10,79|0,03|0,06||
2013 | Mayo|Castilla La Mancha|JUDIAS VERDES|86,28|127,80|1,48|10,06|0,04|0,06||
2013 | Mayo|Castilla La Mancha|PIMIENTOS|51,98|197,23|3,79|16,09|0,02|0,09||
2013 | Mayo|Castilla La Mancha|ESPARRAGOS|44,92|218,77|4,87|10,85|0,02|0,09||
2013 | Mayo|Castilla La Mancha|ALCACHOFAS|48,53|204,84|4,22|7,95|0,02|0,09||
2013 | Mayo|Castilla La Mancha|CHAMPIÑOSNES+SETAS|82,93|213,86|2,58|13,98|0,04|0,09||
2013 | Mayo|Castilla La Mancha|MAIZ DULCE|80,16|230,54|2,88|13,83|0,03|0,1||
2013 | Mayo|Castilla La Mancha|MENESTRA|19,08|34,93|1,83|2,61|0,01|0,02||
2013 | Mayo|Castilla La Mancha|TOMATES|1.227,99|1.600,42|1,3|66,2|0,53|0,69||
2013 | Mayo|Castilla La Mancha|TOMATE FRITO|765,18|1.103,21|1,44|53,88|0,33|0,48||
2013 | Mayo|Castilla La Mancha|TOMATE NATURAL|462,81|497,22|1,07|33,27|0,2|0,22||
2013 | Mayo|Castilla La Mancha|TOMATE N.ENTERO|98,67|101,37|1,03|7,94|0,04|0,04||
2013 | Mayo|Castilla La Mancha|TOMATE N.TRITUR.|364,14|395,84|1,09|28,29|0,16|0,17||
2013 | Mayo|Castilla La Mancha|OTRA VERD/HORT.CON|89,91|185,04|2,06|10,17|0,04|0,08||
2013 | Mayo|Castilla La Mancha|FRUTA EN CONSERVA|347,13|870,57|2,51|39,42|0,15|0,38||
2013 | Mayo|Castilla La Mancha|MERMELADAS,CONFIT.|149,47|457,07|3,06|25,44|0,06|0,2||
2013 | Mayo|Castilla La Mancha|FRUTA CONS/ALMIBAR|181,90|359,17|1,97|15,27|0,08|0,16||
2013 | Mayo|Castilla La Mancha|FRUTA ESCARCHADA|0,00|0,00|0|0|0|0||
2013 | Mayo|Castilla La Mancha|RESTO FRUTA CONSER|15,76|54,33|3,45|4,45|0,01|0,02||
2013 | Mayo|Castilla La Mancha|VERD./HORT.CONGELAD|344,62|635,25|1,84|30,95|0,15|0,28||
2013 | Mayo|Castilla La Mancha|ESPINACAS|27,41|42,19|1,54|4,36|0,01|0,02||
2013 | Mayo|Castilla La Mancha|GUISANTES|46,78|68,13|1,46|7,39|0,02|0,03||
2013 | Mayo|Castilla La Mancha|JUDIA VERDE|113,52|132,52|1,17|9,84|0,05|0,06||
2013 | Mayo|Castilla La Mancha|COLIFLOR|19,64|28,21|1,44|2,71|0,01|0,01||
2013 | Mayo|Castilla La Mancha|PIMIENTOS|1,65|3,45|2,09|0,52|0|0||
2013 | Mayo|Castilla La Mancha|BROCOLI|8,46|13,02|1,54|1,21|0|0,01||
2013 | Mayo|Castilla La Mancha|MENESTRA|59,91|113,56|1,9|6,67|0,03|0,05||
2013 | Mayo|Castilla La Mancha|OTR.VERD/HOR.CONG.|67,25|234,17|3,48|10,71|0,03|0,1||
2013 | Mayo|Castilla La Mancha|FRUTAS CONGELADAS|3,35|13,37|3,99|0,32|0|0,01||
2013 | Mayo|Castilla León|GUISANTES|87,51|193,43|2,21|11,4|0,04|0,08||
2013 | Mayo|Castilla León|JUDIAS VERDES|106,11|161,85|1,53|9,81|0,04|0,07||
2013 | Mayo|Castilla León|PIMIENTOS|105,97|409,56|3,86|19,41|0,04|0,17||
2013 | Mayo|Castilla León|ESPARRAGOS|131,56|665,59|5,06|18,08|0,05|0,27||
2013 | Mayo|Castilla León|ALCACHOFAS|34,48|154,39|4,48|4,97|0,01|0,06||
2013 | Mayo|Castilla León|CHAMPIÑOSNES+SETAS|121,34|337,52|2,78|12,05|0,05|0,14||
2013 | Mayo|Castilla León|MAIZ DULCE|57,95|185,69|3,2|9,2|0,02|0,08||
2013 | Mayo|Castilla León|MENESTRA|40,01|71,46|1,79|4,4|0,02|0,03||
2013 | Mayo|Castilla León|TOMATES|1.080,32|1.321,04|1,22|53,59|0,44|0,54||
2013 | Mayo|Castilla León|TOMATE FRITO|888,58|1.105,94|1,24|46,36|0,36|0,45||
2013 | Mayo|Castilla León|TOMATE NATURAL|191,73|215,09|1,12|15,76|0,08|0,09||
2013 | Mayo|Castilla León|TOMATE N.ENTERO|21,58|25,52|1,18|2,04|0,01|0,01||
2013 | Mayo|Castilla León|TOMATE N.TRITUR.|170,15|189,57|1,11|14,12|0,07|0,08||
2013 | Mayo|Castilla León|OTRA VERD/HORT.CON|115,57|267,98|2,32|10,66|0,05|0,11||
2013 | Mayo|Castilla León|FRUTA EN CONSERVA|420,34|1.312,58|3,12|37,11|0,17|0,53||
2013 | Mayo|Castilla León|MERMELADAS,CONFIT.|166,58|566,89|3,4|22,93|0,07|0,23||
2013 | Mayo|Castilla León|FRUTA CONS/ALMIBAR|194,57|397,74|2,04|14,39|0,08|0,16||
