Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Febrero|Aragón|OTRA VERD/HORT.CON|89,54|176,03|1,97|15,81|0,07|0,13||
2013 | Febrero|Aragón|FRUTA EN CONSERVA|212,01|558,56|2,63|31,62|0,16|0,42||
2013 | Febrero|Aragón|MERMELADAS,CONFIT.|72,05|256,63|3,56|20,55|0,05|0,19||
2013 | Febrero|Aragón|FRUTA CONS/ALMIBAR|133,48|278,04|2,08|13,99|0,1|0,21||
2013 | Febrero|Aragón|FRUTA ESCARCHADA|2,09|10,36|4,97|1,52|0|0,01||
2013 | Febrero|Aragón|RESTO FRUTA CONSER|4,39|13,52|3,08|2,39|0|0,01||
2013 | Febrero|Aragón|VERD./HORT.CONGELAD|353,53|585,64|1,66|32,74|0,26|0,44||
2013 | Febrero|Aragón|ESPINACAS|28,13|44,64|1,59|5,14|0,02|0,03||
2013 | Febrero|Aragón|GUISANTES|72,68|93,84|1,29|11,33|0,05|0,07||
2013 | Febrero|Aragón|JUDIA VERDE|132,11|151,72|1,15|16,29|0,1|0,11||
2013 | Febrero|Aragón|COLIFLOR|1,69|2,45|1,45|0,34|0|0||
2013 | Febrero|Aragón|PIMIENTOS|1,17|2,57|2,2|0,47|0|0||
2013 | Febrero|Aragón|BROCOLI|2,38|4,87|2,04|0,48|0|0||
2013 | Febrero|Aragón|MENESTRA|67,33|153,28|2,28|10,28|0,05|0,11||
2013 | Febrero|Aragón|OTR.VERD/HOR.CONG.|48,04|132,28|2,75|8,24|0,04|0,1||
2013 | Febrero|Aragón|FRUTAS CONGELADAS|0,00|0,00|0|0|0|0||
2013 | Febrero|Asturias|GUISANTES|34,74|74,31|2,14|13,84|0,03|0,07||
2013 | Febrero|Asturias|JUDIAS VERDES|50,16|73,42|1,46|6,08|0,05|0,07||
2013 | Febrero|Asturias|PIMIENTOS|51,38|191,81|3,73|18,71|0,05|0,18||
2013 | Febrero|Asturias|ESPARRAGOS|36,01|219,98|6,11|13,54|0,03|0,2||
2013 | Febrero|Asturias|ALCACHOFAS|6,49|26,61|4,1|2,22|0,01|0,02||
2013 | Febrero|Asturias|CHAMPIÑOSNES+SETAS|76,17|210,46|2,76|20,77|0,07|0,19||
2013 | Febrero|Asturias|MAIZ DULCE|6,01|18,42|3,06|3,04|0,01|0,02||
2013 | Febrero|Asturias|MENESTRA|1,22|2,49|2,04|0,26|0|0||
